frame,original,ocr_result,confidence,is_different
902,28 40,28,1.0,True
903,28 40,28,1.0,True
904,28 40,28,1.0,True
905,28 40,28,1.0,True
906,28 40,28,1.0,True
907,28 40,28,1.0,True
908,28 40,28,1.0,True
909,28 40,28,1.0,True
910,28 40,28,1.0,True
911,28 40,28,1.0,True
912,28 40,28,1.0,True
913,28 40,28,1.0,True
914,28 40,28,1.0,True
915,28 40,28,1.0,True
916,28 40,28,1.0,True
917,28 40,28,1.0,True
918,28 40,28,1.0,True
919,28 40,28,1.0,True
920,28 40,28,1.0,True
921,28 40,28,1.0,True
922,28 40,28,1.0,True
923,28 40,28,1.0,True
924,28 40,28,1.0,True
925,28 40,28,1.0,True
926,28 40,28,1.0,True
927,28 40,28,1.0,True
928,28 40,28,1.0,True
929,28 40,28,1.0,True
930,28 40,28,1.0,True
931,28 40,28,1.0,True
932,28 40,28,1.0,True
933,28 40,28,1.0,True
934,28 40,28,1.0,True
935,28 40,28,1.0,True
936,28 40,28,1.0,True
937,28 40,28,1.0,True
938,28 40,28,1.0,True
939,28 40,28,1.0,True
940,28 40,28,1.0,True
941,28 40,28,1.0,True
942,28 40,28,1.0,True
943,28 40,28,1.0,True
944,28 40,28,1.0,True
945,28 40,28,1.0,True
946,28 40,28,1.0,True
947,28 40,28,1.0,True
948,28 40,28,1.0,True
949,28 40,28,1.0,True
950,28 40,28,1.0,True
951,28 40,28,1.0,True
952,28 40,28,1.0,True
953,28 40,28,1.0,True
954,28 40,28,1.0,True
955,28 40,28,1.0,True
956,28 40,28,1.0,True
957,28 40,28,1.0,True
958,28 40,28,1.0,True
959,28 40,28,1.0,True
960,28 40,28,1.0,True
961,28 40,28,1.0,True
962,28 40,28,1.0,True
963,28 40,28,1.0,True
964,28 40,28,1.0,True
965,28 40,28,1.0,True
966,28 40,28,1.0,True
967,28 40,28,1.0,True
968,28 40,28,1.0,True
969,28 40,28,1.0,True
970,28 40,28,1.0,True
971,28 40,28,1.0,True
972,28 40,28,1.0,True
973,28 40,28,1.0,True
974,28 40,28,1.0,True
975,28 40,28,1.0,True
976,28 40,28,1.0,True
977,28 40,28,1.0,True
978,28 40,28,1.0,True
979,28 40,28,1.0,True
980,28 40,28,1.0,True
981,28 40,28,1.0,True
982,28 40,28,1.0,True
983,28 40,28,1.0,True
